1977/1/1,土,1.9,2.6,0
1977/1/2,日,1.7,6.2,0
1977/1/3,月,2.5,8.9,0
1977/1/4,火,1.1,8.1,0
1977/1/5,水,2.2,7.2,0
1977/1/6,木,2.1,7.1,0
1977/1/7,金,2.9,9.1,0
1977/1/8,土,5.3,7.2,0
1977/1/9,日,5.6,0,3
1977/1/10,月,5.3,0.7,1
1977/1/11,火,5.1,8.9,0
1977/1/12,水,4.4,8,0
1977/1/13,木,3,8.3,0
1977/1/14,金,1.5,8.8,0
1977/1/15,土,1.5,1.7,0
1977/1/16,日,3.4,9.3,0
1977/1/17,月,4.2,9.3,0
1977/1/18,火,3.9,7.9,0
1977/1/19,水,3.6,9.5,0
1977/1/20,木,4.8,8.4,0
1977/1/21,金,3.7,6.3,0
1977/1/22,土,2.5,8.2,0
1977/1/23,日,3.3,5.6,0
1977/1/24,月,2.6,9.8,0
1977/1/25,火,4.2,9.3,0
1977/1/26,水,8.2,3.1,13
1977/1/27,木,6.7,9.4,0
1977/1/28,金,2.8,9.7,0
1977/1/29,土,1,9.5,0
1977/1/30,日,1.4,5.9,0
1977/1/31,月,2.4,8.7,0
1977/2/1,火,1.7,7.9,0
1977/2/2,水,1.6,7.2,0
1977/2/3,木,1.6,9.5,0
1977/2/4,金,1.8,8.5,0
1977/2/5,土,1.6,9.8,0
1977/2/6,日,0.9,10,0
1977/2/7,月,1.6,9.9,0
1977/2/8,火,2.9,9.5,0
1977/2/9,水,3.7,1.4,0
1977/2/10,木,3.9,4.3,7
1977/2/11,金,3.2,10.1,0
1977/2/12,土,3.2,8.5,0
1977/2/13,日,5.2,7.5,0
1977/2/14,月,7.4,7.6,0
1977/2/15,火,2.7,9.1,0
1977/2/16,水,-1.7,9.3,0
1977/2/17,木,-1.1,8.7,0
1977/2/18,金,-0.1,9.2,0
1977/2/19,土,2.1,10.6,0
1977/2/20,日,4.6,8,0
1977/2/21,月,4.6,2.5,25
1977/2/22,火,1.3,9.1,0
1977/2/23,水,3.3,9.5,0
1977/2/24,木,4.7,10,0
1977/2/25,金,8.4,6,16
1977/2/26,土,10.5,9.6,1
1977/2/27,日,8.9,5.3,0
1977/2/28,月,8.2,8.7,0
1977/3/1,火,8.8,8.9,0
1977/3/2,水,10.6,3.3,10
1977/3/3,木,5.4,9.1,1
1977/3/4,金,1.2,10.6,0
1977/3/5,土,-0.8,9.2,0
1977/3/6,日,1.7,10.6,0
1977/3/7,月,7.9,10.2,0
1977/3/8,火,9.6,9.4,0
1977/3/9,水,12.1,5.3,0
1977/3/10,木,8.6,11,0
1977/3/11,金,7.9,9.7,0
1977/3/12,土,9.5,10.7,0
1977/3/13,日,9.5,8.3,7
1977/3/14,月,13.9,10,6
1977/3/15,火,12.2,10.7,0
1977/3/16,水,10.9,4.4,3
1977/3/17,木,10.5,0,8
1977/3/18,金,11.9,0,8
1977/3/19,土,11.2,0,0
1977/3/20,日,9.2,5.6,0
1977/3/21,月,8.7,11.3,0
1977/3/22,火,10.5,2.6,3
1977/3/23,水,10.5,3.6,30
1977/3/24,木,11.5,0.2,48
1977/3/25,金,7.4,10.9,0
1977/3/26,土,8.8,10.7,0
1977/3/27,日,12.3,7.2,24
1977/3/28,月,9.3,11.6,0
1977/3/29,火,9.5,10.5,0
1977/3/30,水,11.4,0,77
1977/3/31,木,11.9,0,7
1977/4/1,金,11.4,11.7,0
1977/4/2,土,11.7,11.5,0
1977/4/3,日,11.3,11.6,0
1977/4/4,月,10.2,11.7,0
1977/4/5,火,9.3,11.3,0
1977/4/6,水,11.3,6.7,2
1977/4/7,木,13.9,6.4,11
1977/4/8,金,11.1,0,6
1977/4/9,土,11.7,0,55
1977/4/10,日,14.1,11.5,0
1977/4/11,月,14.2,11.3,0
1977/4/12,火,15.9,2.6,15
1977/4/13,水,16.9,5.1,3
1977/4/14,木,17.8,7.7,0
1977/4/15,金,18.2,1.7,3
1977/4/16,土,17.4,0.5,14
1977/4/17,日,14.7,7.6,12
1977/4/18,月,13.9,9.5,20
1977/4/19,火,10.8,11.2,0
1977/4/20,水,15.2,11.7,0
1977/4/21,木,16.5,12,0
1977/4/22,金,14.3,9.1,0
1977/4/23,土,16.8,11.8,0
1977/4/24,日,17.9,5.9,0
1977/4/25,月,16.9,0,46
1977/4/26,火,18.4,8.4,0
1977/4/27,水,17,4.1,4
1977/4/28,木,17.3,2.1,3
1977/4/29,金,14.5,10.5,0
1977/4/30,土,13.9,10.5,0
1977/5/1,日,14.5,12.1,0
1977/5/2,月,17,1.5,48
1977/5/3,火,17.6,12.4,0
1977/5/4,水,15.4,0.3,1
1977/5/5,木,14.9,0,15
1977/5/6,金,18.7,11.2,0
1977/5/7,土,18.2,6.8,0
1977/5/8,日,15.8,12.6,0
1977/5/9,月,16.6,11.5,0
1977/5/10,火,17.5,12.7,0
1977/5/11,水,16.9,12.7,0
1977/5/12,木,18.5,7,0
1977/5/13,金,19.1,12.4,0
1977/5/14,土,19.5,6.7,0
1977/5/15,日,17.3,1.8,177
1977/5/16,月,16.3,13.1,0
1977/5/17,火,16.1,12.9,0
1977/5/18,水,18.6,12.8,0
1977/5/19,木,19.8,12.9,0
1977/5/20,金,21.2,13,0
1977/5/21,土,19.5,11.4,0
1977/5/22,日,14.9,0.1,6
1977/5/23,月,17.8,8.6,2
1977/5/24,火,18.8,7.3,0
1977/5/25,水,17.8,2.2,29
1977/5/26,木,17.3,0,8
1977/5/27,金,19.8,12,0
1977/5/28,土,19.8,12.1,0
1977/5/29,日,20.6,6.4,0
